"impolite","Career advice questions like this one are too localized for this site. Please see [Are Career Advice questions useful for anyone except the poster](http://meta.programmers.stackexchange.com/questions/588/are-career-advice-questions-useful-to-anyone-except-the-poster/590#590)?"
"impolite","Phones generally don\'t even ring for more than 30 seconds. Why do you want to do this?"
"impolite","And this is why you\'re asking all the stupid questions?"
"impolite","wait! If you\'re doing the thesis, shouldn\'t you be the expert?"
"impolite","I\'d like to know why someone voted to close this as Off-Topic.  Can you please explain your reasoning?"
"impolite","It\'s a pretty dumb question.  Who is asking you this?"
"impolite","Yea the password isn\'t the same as the lock code and on another note, she needs a better pass code! If you have contacts and pictures synced she could just setup as a fresh phone?"
"impolite","What is wrong, are you making a comment to Elderathis answer, or are you adding your own answer? If you\'re adding your own answer please expand a bit on this, I don\'t believe the base Clockworkmod can help you unless you\'ve previously done full ROM backups, or follow the links on Elderathis post to get hold of the approriate ROMs (stock or custom)?"
"impolite","You *want* to see your password in your cookie? I suppose you like it when sites email you your *forgotten password* too?"
"impolite","WTF? Downvotes? What for?"
"impolite","You again? Why don\'t you go do your homework?"
"impolite","You wouldn\'t be allowed to ask and post comments if you were not logged in. What kind of programmer are you?"
"impolite","My answer would be: What kind of lame ass product searches for palindromes in a string. May I take a closer look at your business plan, please?"
"impolite","Not sure how this setup helps migration. Could you please elaborate?"
"impolite","miles per hour? really?"
"impolite","? EXPLAIN PLEASE! WHERE WOULD I DO THAT @ ?"
"impolite","\""Please explain in detail\""? Really?"
"impolite","I\'m assuming that you want to delete the email messages on the non-Gmail account. Which email provider are you using?"
"impolite","Are the k in ???k-CNF??? and the k in the question the same variable?  And what is the parameter of this problem?"
"impolite","no offense, kid, but you\'re trying to build a chess game and are struggling to put labels on a board? Don\'t you think this kind of program is a little bit out of your league?"
"impolite","Ugh, possibly the ugliest Python code I\'ve ever seen. What are you doing?"
"impolite","What exactly do you want to know? Equipment tips, location tips, landscape photography tips?"
"impolite","Wow.  You couldn\'t even format your test question correctly?  How can we answer your homework for you if you can\'t even format it well?"
